Date,Open,High,Low,Close,Volume,Adj Close
9/25/2015,15.88,16.02,15.81,15.89,88260000,15.89
9/24/2015,15.54,15.62,15.4,15.55,97752800,15.55
9/23/2015,15.6,15.85,15.58,15.72,77240300,15.72
9/22/2015,15.49,15.58,15.45,15.57,91345800,15.57
9/21/2015,15.67,15.75,15.57,15.7,60335300,15.7
9/18/2015,15.68,15.71,15.5,15.56,135287300,15.56
9/17/2015,16.290001,16.48,15.78,15.86,116177500,15.86
9/16/2015,16.35,16.389999,16.09,16.33,82103100,16.33
9/15/2015,16.040001,16.389999,16.01,16.309999,61441500,16.309999
9/14/2015,15.97,16.07,15.9,15.96,50300000,15.96
9/11/2015,15.99,16.059999,15.9,16.040001,53996700,16.040001
9/10/2015,15.87,16.110001,15.81,16.040001,66760400,16.040001
9/9/2015,16.370001,16.459999,15.83,15.9,69678500,15.9
9/8/2015,15.96,16.16,15.9,16.16,73221300,16.16
9/4/2015,15.79,15.86,15.5,15.65,104539500,15.65
9/3/2015,15.97,16.190001,15.87,15.94,77175800,15.94
9/2/2015,15.82,15.86,15.57,15.85,74820400,15.85
9/1/2015,15.95,16.049999,15.46,15.58,119064000,15.53
8/31/2015,16.33,16.379999,16.18,16.34,66695200,16.287561
8/28/2015,16.4,16.440001,16.200001,16.360001,75899300,16.307498
8/27/2015,16.379999,16.450001,16.09,16.440001,124185400,16.387241
8/26/2015,15.81,16.059999,15.34,16.059999,174208500,16.008459
8/25/2015,16.200001,16.200001,15.25,15.26,194377000,15.211027
8/24/2015,15.02,15.98,14.6,15.29,214649500,15.240931
8/21/2015,16.200001,16.66,16.1,16.1,148874300,16.048332
8/20/2015,17.190001,17.200001,16.719999,16.719999,149185400,16.666341
8/19/2015,17.549999,17.690001,17.440001,17.459999,78540500,17.403966
8/18/2015,17.719999,17.9,17.65,17.690001,50360700,17.633229
8/17/2015,17.610001,17.809999,17.559999,17.77,42310000,17.712972
8/14/2015,17.57,17.700001,17.540001,17.700001,52710300,17.643197
8/13/2015,17.559999,17.690001,17.440001,17.620001,67456200,17.563454
8/12/2015,17.620001,17.65,17.02,17.52,141600100,17.463775
8/11/2015,17.85,17.969999,17.719999,17.790001,65868600,17.732909
8/10/2015,17.870001,18.049999,17.860001,18.040001,65791200,17.982106
8/7/2015,17.92,18.07,17.6,17.75,71020700,17.693036
8/6/2015,17.91,17.98,17.77,17.809999,47594700,17.752843
8/5/2015,17.93,18.049999,17.799999,17.870001,65228600,17.812652
8/4/2015,17.790001,17.93,17.709999,17.799999,69741500,17.742875
8/3/2015,17.91,17.969999,17.639999,17.77,62376800,17.712972
7/31/2015,18.030001,18.059999,17.860001,17.879999,67176900,17.822618
