"","X.1","X","ï..Date","Open","High","Low","Close","Volume","V7"
"1",1,1,"25-Sep-15",266.61,266.91,256.15,0.0238843728705424,0.0238843728705424,0.0238843728705424
"2",2,2,"24-Sep-15",259.53,263.45,256.21,-0.00785993592015783,-0.00785993592015783,-0.00785993592015783
"3",3,3,"23-Sep-15",261.95,262.08,257.58,-0.000459770123041679,-0.000459770123041679,-0.000459770123041679
"4",4,4,"22-Sep-15",259.03,262.65,255.87,0.0124158962506229,0.0124158962506229,0.0124158962506229
"5",5,5,"21-Sep-15",263.98,271.57,255.8,-0.013642984371465,-0.013642984371465,-0.013642984371465
"6",6,6,"18-Sep-15",257.96,263.82,257.5,0.00554823593181867,0.00554823593181867,0.00554823593181867
"7",7,7,"17-Sep-15",263.96,265.5,260.69,0.000686603627828015,0.000686603627828015,0.000686603627828015
"8",8,8,"16-Sep-15",253.04,262.88,252.88,-0.0336583282408905,-0.0336583282408905,-0.0336583282408905
"9",9,9,"15-Sep-15",252.75,254.6,249.5,-0.00149972401619618,-0.00149972401619618,-0.00149972401619618
"10",10,10,"14-Sep-15",251.1,254.25,249.67,-0.0117197376623736,-0.0117197376623736,-0.0117197376623736
"11",11,11,"11-Sep-15",247.64,250.24,244.73,-0.00705809795656936,-0.00705809795656936,-0.00705809795656936
"12",12,12,"10-Sep-15",247.23,250.72,245.33,0.00172902594392679,0.00172902594392679,0.00172902594392679
"13",13,13,"9-Sep-15",252.05,254.25,248.3,-0.00297739014511069,-0.00297739014511069,-0.00297739014511069
"14",14,14,"8-Sep-15",245.05,249.16,244.05,-0.0254655670834968,-0.0254655670834968,-0.0254655670834968
"15",15,15,"4-Sep-15",240.89,244.09,238.2,0.0149336108592587,0.0149336108592587,0.0149336108592587
"16",16,16,"3-Sep-15",252.06,252.08,245,0.0085959252883746,0.0085959252883746,0.0085959252883746
"17",17,17,"2-Sep-15",245.3,247.88,239.78,-0.0372637290582045,-0.0372637290582045,-0.0372637290582045
"18",18,18,"1-Sep-15",240.34,246,236.97,0.0427795960878773,0.0427795960878773,0.0427795960878773
"19",19,19,"31-Aug-15",245.62,254.95,245.51,-0.00233147189262552,-0.00233147189262552,-0.00233147189262552
"20",20,20,"28-Aug-15",241.86,251.45,241.57,-0.0223420691699806,-0.0223420691699806,-0.0223420691699806
"21",21,21,"27-Aug-15",231,244.75,230.81,-0.0776312520965222,-0.0776312520965222,-0.0776312520965222
"22",22,22,"26-Aug-15",227.93,228,215.51,-0.0216251374418246,-0.0216251374418246,-0.0216251374418246
"23",23,23,"25-Aug-15",230.52,230.9,219.12,-0.00528595443605581,-0.00528595443605581,-0.00528595443605581
"24",24,24,"24-Aug-15",202.79,231.4,195,0.052943597260494,0.052943597260494,0.052943597260494
"25",25,25,"21-Aug-15",236,243.8,230.51,0.0482597078097325,0.0482597078097325,0.0482597078097325
"26",26,26,"20-Aug-15",252.06,254.56,241.9,0.0525622057185546,0.0525622057185546,0.0525622057185546
"27",27,27,"19-Aug-15",260.33,260.65,255.02,0.0212035774845313,0.0212035774845313,0.0212035774845313
