Date,Open,High,Low,Close,Volume,Adj Close
9/25/2015,29.66,29.709999,28.91,29.129999,11525300,29.129999
9/24/2015,29.469999,29.57,28.85,29.34,18723200,29.34
9/23/2015,30.559999,30.57,29.629999,29.74,12674700,29.74
9/22/2015,30.780001,30.92,30.17,30.4,15257000,30.4
9/21/2015,31.200001,31.74,30.879999,31.17,18413400,31.17
9/18/2015,30.51,30.799999,30.41,30.74,20144700,30.74
9/17/2015,31.309999,31.33,30.809999,30.93,16546900,30.93
9/16/2015,31.139999,31.77,30.99,31.4,22171700,31.4
9/15/2015,29.719999,31.23,29.41,31.040001,25637600,31.040001
9/14/2015,30.68,30.92,30,30.32,21951500,30.32
9/11/2015,31.09,31.43,30.629999,31.43,14312100,31.43
9/10/2015,31.35,31.59,31.030001,31.15,14287600,31.15
9/9/2015,30.4,31.799999,30.35,31.52,46957000,31.52
9/8/2015,32.200001,32.830002,30.860001,30.9,25238500,30.9
9/4/2015,32,32.290001,31.440001,31.58,13829900,31.58
9/3/2015,31.860001,32.740002,31.799999,32.540001,13710700,32.540001
9/2/2015,32.009998,32.029999,31.379999,31.77,15551500,31.77
9/1/2015,31.49,32.099998,31.23,31.6,19828300,31.6
8/31/2015,32.91,32.990002,32.23,32.240002,13575100,32.240002
8/28/2015,33.32,33.57,32.93,33.139999,9359500,33.139999
8/27/2015,33.360001,33.77,32.950001,33.689999,18949200,33.689999
8/26/2015,32.459999,32.619999,31.110001,32.52,25375600,32.52
8/25/2015,32.98,33.029999,31.540001,31.74,15626100,31.74
8/24/2015,29.02,32.279999,29,31.309999,22876900,31.309999
8/21/2015,33.580002,34.02,32.91,32.93,18271700,32.93
8/20/2015,34.77,34.950001,33.869999,34.099998,15525800,34.099998
8/19/2015,35.669998,35.669998,35.029999,35.189999,8974100,35.189999
8/18/2015,35.779999,36.189999,35.599998,35.689999,11422700,35.689999
8/17/2015,36.240002,36.240002,35.77,36.099998,7923100,36.099998
8/14/2015,35.82,36.349998,35.720001,36.240002,12238300,36.240002
8/13/2015,35.080002,36.610001,34.82,35.93,28981100,35.93
8/12/2015,34.290001,34.77,33.849998,34.490002,31405700,34.490002
8/11/2015,36.740002,36.77,35.73,36.029999,13677300,36.029999
8/10/2015,36.869999,37.689999,36.869999,37.150002,11266600,37.150002
8/7/2015,36.52,36.759998,36.150002,36.669998,11825800,36.669998
8/6/2015,37.34,37.52,36.299999,36.459999,12045400,36.459999
8/5/2015,37.32,37.709999,37.23,37.25,6837900,37.25
8/4/2015,36.610001,37.209999,36.599998,37.119999,8999000,37.119999
8/3/2015,36.669998,36.98,36.369999,36.689999,9853500,36.689999
7/31/2015,37.560001,37.57,36.619999,36.669998,15478000,36.669998
7/30/2015,37.5,37.689999,37.299999,37.419998,9513200,37.419998
7/29/2015,37.919998,37.919998,37.380001,37.669998,9739400,37.669998
7/28/2015,37.639999,37.919998,37.27,37.720001,10315100,37.720001
7/27/2015,38.310001,38.310001,37.650002,37.84,12872800,37.84
7/24/2015,39.580002,39.580002,38.669998,38.849998,8557000,38.849998
7/23/2015,39.299999,39.779999,39.060001,39.209999,9241700,39.209999
7/22/2015,38.57,39.630001,38.259998,39.240002,17115400,39.240002
7/21/2015,39.610001,39.849998,39.349998,39.73,14513300,39.73
7/20/2015,39.98,39.98,39.259998,39.540001,13909400,39.540001
7/17/2015,39.189999,39.790001,38.93,39.68,14421500,39.68
7/16/2015,38.700001,38.959999,38.599998,38.91,8406900,38.91
7/15/2015,38.509998,38.799999,38.150002,38.380001,9123300,38.380001
7/14/2015,38.650002,39.029999,38.439999,38.630001,9464500,38.630001
7/13/2015,38.25,38.799999,38.099998,38.759998,8665000,38.759998
7/10/2015,38.349998,38.419998,37.779999,37.919998,9559100,37.919998
7/9/2015,38.23,38.68,37.52,37.610001,16871200,37.610001
7/8/2015,37.200001,37.490002,36.939999,37.23,20430200,37.23
7/7/2015,38.240002,38.380001,36.580002,38.23,19424200,38.23
7/6/2015,38.759998,39.119999,38.459999,38.610001,11761500,38.610001
7/2/2015,39.259998,39.639999,39.189999,39.380001,7708100,39.380001
7/1/2015,39.459999,39.779999,39.150002,39.330002,6385000,39.330002
6/30/2015,39.389999,39.650002,39.189999,39.290001,11170200,39.290001
6/29/2015,39.490002,39.779999,38.849998,38.91,12452700,38.91
6/26/2015,40.830002,40.869999,39.93,40.060001,16011600,40.060001
6/25/2015,41.099998,41.389999,40.900002,41.07,10764100,41.07
6/24/2015,40.68,41.23,40.580002,40.939999,11444300,40.939999
6/23/2015,40.740002,40.799999,40.509998,40.650002,6846300,40.650002
6/22/2015,40.66,40.889999,40.540001,40.73,6127200,40.73
6/19/2015,40.900002,40.93,40.369999,40.509998,11586600,40.509998
6/18/2015,41.040001,41.27,40.790001,40.91,10003000,40.91
6/17/2015,40.799999,41.52,40.779999,40.959999,11936400,40.959999
6/16/2015,40.349998,41.400002,40.02,40.639999,20439700,40.639999
6/15/2015,40.240002,40.669998,40.209999,40.470001,10869500,40.470001
6/12/2015,40.77,41.110001,40.459999,40.529999,9220600,40.529999
6/11/2015,42.09,42.209999,40.549999,40.939999,23654400,40.939999
6/10/2015,41.700001,42.310001,41.689999,42.060001,7930000,42.060001
6/9/2015,41.919998,41.950001,41.02,41.630001,11943500,41.630001
6/8/2015,42.720001,42.889999,42,42.009998,7596300,42.009998
6/5/2015,42.830002,43.259998,42.700001,42.810001,8307600,42.810001
6/4/2015,43.09,43.439999,42.759998,42.880001,8055400,42.880001
6/3/2015,43.299999,43.779999,42.98,43.209999,11884100,43.209999
6/2/2015,43.18,43.619999,42.919998,43.150002,8863900,43.150002
6/1/2015,43.049999,43.630001,42.91,43.349998,11150700,43.349998
5/29/2015,43.450001,43.59,42.810001,42.939999,10901500,42.939999
5/28/2015,43.060001,43.419998,42.93,43.07,10988400,43.07
5/27/2015,42.599998,43.439999,42.279999,43.380001,13671900,43.380001
5/26/2015,43.41,43.5,42.580002,42.849998,12776200,42.849998
5/22/2015,43.580002,44,43.470001,43.490002,10271700,43.490002
5/21/2015,43.060001,43.869999,43.049999,43.68,30372300,43.68
5/20/2015,42.279999,43.040001,42.16,42.790001,54383700,42.790001
5/19/2015,44.380001,44.66,39.119999,40.98,41283000,40.98
5/18/2015,44.52,44.57,44.040001,44.360001,8278800,44.360001
5/15/2015,45,45.07,44.689999,44.75,7751900,44.75
5/14/2015,44.529999,44.990002,44.450001,44.950001,10098100,44.950001
5/13/2015,44.029999,44.669998,43.98,44.400002,10982100,44.400002
